codigo_br,descricao_catmat,preco_unitario,qtd_itens_comprados,fornecedor,fabricante,nome_instituicao,ano_compra,mediana_produto,razao_vs_mediana
305494,"DIDROGESTERONA, CONCENTRAÇÃO:10 MG",55776.0,30,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA.,ABBOTT LABORATORIOS DO BRASIL LTDA,CONSORCIO INTERMUNICIPAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL-CISA,2024,1.85,30149.189189189186
352394,"BUDESONIDA, CONCENTRAÇÃO:400 MCG, FORMA FARMACÊUTICA:CÁPSULA PÓ INALANTE, CARACTERÍSTICA ADICIONAL:REFIL",20089.24,2200,JANSSEN-CILAG FARMACEUTICA LTDA,JANSSEN-CILAG FARMACEUTICA LTDA,SECRETARIA DE ESTADO DA SAUDE,2020,0.7535,26661.234240212347
272824,"PRAMIPEXOL, DOSAGEM:0,125 MG",8415.06,6,SOUZA & GOMES FARMACIA LTDA,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA,FUNDO MUNICIPAL DE SAUDE DE SAO GABRIEL DO OESTE,2022,0.66,12750.090909090908
267283,"ESCOPOLAMINA BUTILBROMETO, DOSAGEM:10 MG",5500.0,10000,DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.,GREENPHARMA QUIMICA E FARMACEUTICA EM RECUPERACAO JUDICIAL LTDA,FUNDO MUNICIPAL DE SAUDE,2024,0.4948,11115.602263540824
415898,"NEBULIZADOR, TIPO:CENTRAL MÍN.4 SAÍDAS, 4 FLUXÔMETROS, FILTRO, ACESSÓRIOS:10 CJ COMPLETOS ADULTO E 10 PEDIÁTRICOS, TENSÃO ALIMENTAÇÃO:110/220 V, CARACTERÍSTICA ADICIONAIS:COMPRESSOR ISENTO DE ÓLEO, 1/4HP",1439000.0,1,ASCLEPIOS EQUIPAMENTOS HOSPITALARES LTDA,ASCLEPIOS EQUIPAMENTOS HOSPITALARES LTDA,FUNDO MUNICIPAL DE SAUDE,2024,135.3,10635.624538063561
272815,"PENICILAMINA, DOSAGEM:250 MG",294400.0,77500,AGILLE COMERCIO DE MEDICAMENTOS LTDA,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,SECRETARIA DE ESTADO DA SAUDE,2025,28.7,10257.839721254355
439214,"CUBA USO HOSPITALAR, MATERIAL:AÇO INOX, FORMATO:TIPO RIM, CAPACIDADE:CERCA DE 700 ML",362750.0,15,ESTRELA COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES LTDA,CAMAHE INDUSTRIA E COMERCIO IMPORTACAO E EXPORTACAO DE PRODUTOS PARA A SAUDE LTDA,FUNDO MUNICIPAL DE SAUDE,2024,40.4,8978.960396039603
461248,"ELETRODO USO MÉDICO, APLICAÇÃO 1:P/ MONITORIZAÇÃO CARDÍACA - ECG, MODELO:DE SUPERFÍCIE, TIPO:ADESIVO, MATERIAL SENSOR:P/ AMBIENTE RESSONÂNCIA MAGNÉTICA MRI, ADICIONAL 1:C/ GEL CONDUTOR, TAMANHOS:ADULTO, ACESSÓRIO:S/ CABO, ESTERILIDADE:USO ÚNICO",3124.58,15,EXITUSMED COMERCIO DE PRODUTOS MEDICO HOSPITALARES LTDA,INDUMED COMERCIO IMPORTACAO E EXPORTACAO DE PRODUTOS MEDICOS LTDA,FUNDACAO MUNICIPAL DE SAUDE DE PONTA GROSSA,2023,0.35,8927.371428571429
365441,"OXIBUTININA CLORIDRATO, CONCENTRAÇÃO:10 MG, FORMA FARMACEUTICA:LIBERAÇÃO CONTROLADA",20000.0,180,CIENTIFICA MEDICA HOSPITALAR LTDA,APSEN FARMACEUTICA S/A,SECRETARIA DE ESTADO DA SAUDE - SES,2021,2.6915,7430.80066877206
267743,"PREDNISONA, DOSAGEM:20 MG",1149.0,5000,SAMEH SOLUCOES HOSPITALARES LTDA,EMS S/A,MUNICIPIO DE GUAXUPE,2024,0.17,6758.823529411764
272478,"FLUNARIZINA DICLORIDRATO, DOSAGEM:10 MG",480.0,6000,PROMEFARMA MEDICAMENTOS E PRODUTOS HOSPITALARES LTDA,BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A.,MUNICIPIO DE CANDOI,2024,0.08,6000.0
461250,"ELETRODO USO MÉDICO, APLICAÇÃO 1:P/ MONITORIZAÇÃO CARDÍACA - ECG, MODELO:DE SUPERFÍCIE, TIPO:ADESIVO, MATERIAL SENSOR:P/ AMBIENTE RESSONÂNCIA MAGNÉTICA MRI, ADICIONAL 1:C/ GEL CONDUTOR, TAMANHOS:INFANTIL, ACESSÓRIO:S/ CABO, ESTERILIDADE:USO ÚNICO",1900.0,23,PRO-VIDA COMERCIO DE EQUIPAMENTOS LTDA,INDUMED COMERCIO IMPORTACAO E EXPORTACAO DE PRODUTOS MEDICOS LTDA,FUNDACAO MUNICIPAL DE SAUDE DE PONTA GROSSA,2023,0.39,4871.794871794872
